Album,Rating,Number of Songs,Year,Sales
Born to Die,5.5,13,2012,1500000
Ultraviolence,7.1,14,2014,529000
Honeymoon,7.5,14,2015,105000
Lust for Life,7.7,16,2017,88000
Norman Fucking Rockwell!,9.4,14,2019,66000
Chemtrails Over the Country Club,7.5,11,2021,58000
Blue Banisters,7.7,15,2021,33000
